years,start,end,symbol,contributed,final_value,profit
5,2016-09-01,2021-09-01,QQQ,26200.0,55769.93739399628,29569.937393996282
5,2016-09-01,2021-09-01,QLD,26200.0,98804.38531455996,72604.38531455996
5,2016-09-01,2021-09-01,TQQQ,26200.0,150372.44777214667,124172.44777214667
5,2016-09-01,2021-09-01,50_50_deposits,26200.0,103071.19258307148,76871.19258307148
5,2016-09-01,2021-09-01,50_50_monthly,26200.0,99521.36143666226,73321.36143666226
10,2011-09-01,2021-09-01,QQQ,52300.0,186556.4237451211,134256.4237451211
10,2011-09-01,2021-09-01,QLD,52300.0,526162.0452842723,473862.0452842723
10,2011-09-01,2021-09-01,TQQQ,52300.0,1248659.44651564,1196359.44651564
10,2011-09-01,2021-09-01,50_50_deposits,52300.0,717607.9351303806,665307.9351303806
10,2011-09-01,2021-09-01,50_50_monthly,52300.0,536044.1209595071,483744.12095950707
