years,window_start,actual_start,actual_end,allocation,weekly_budget,contributed,final_value,profit,roi,worst_interim_loss,terminal_tqqq_market_weight,maximum_tqqq_market_weight
5,1999-04-01,1999-04-01,2004-04-01,100_QQQ,100.0,26200.0,23418.73193560102,-2781.2680643989806,-0.10615526963354893,-0.5771282764321475,0.0,0.0
5,1999-04-01,1999-04-01,2004-04-01,100_QLD,100.0,26200.0,19659.933447383166,-6540.066552616834,-0.24962086078690204,-0.8358115930322165,0.0,0.0
5,1999-04-01,1999-04-01,2004-04-01,100_TQQQ,100.0,26200.0,18679.315874415264,-7520.684125584736,-0.2870490124268983,-0.937056337889381,1.0,1.0
5,1999-04-01,1999-04-01,2004-04-01,50_TQQQ_only,50.0,13100.0,9339.657937207632,-3760.342062792368,-0.2870490124268983,-0.937056337889381,1.0,1.0
5,1999-04-01,1999-04-01,2004-04-01,50_TQQQ_50_QQQ,100.0,26200.0,21049.023905008144,-5150.976094991856,-0.19660214103022355,-0.7482438929748239,0.443709788128725,0.7178803342039214
5,1999-04-01,1999-04-01,2004-04-01,50_50_monthly_rebalance,100.0,26200.0,19339.22789473899,-6860.77210526101,-0.26186153073515306,-0.833391505182453,0.4999999999999912,0.6021060403558137
5,1999-04-01,1999-04-01,2004-04-01,50_TQQQ_50_cash,100.0,26200.0,22439.65793720763,-3760.3420627923697,-0.14352450621344925,-0.4685281689446905,0.4162121349328309,0.8170671467869335
5,1999-04-01,1999-04-01,2004-04-01,30_TQQQ_70_cash,100.0,26200.0,23943.79476232458,-2256.205237675422,-0.08611470372806951,-0.28111690136681433,0.23403954210057454,0.6568536609893045
5,1999-05-01,1999-05-03,2004-04-30,100_QQQ,100.0,26100.0,22635.462632709885,-3464.537367290115,-0.13274089529847188,-0.5756849203251059,0.0,0.0
5,1999-05-01,1999-05-03,2004-04-30,100_QLD,100.0,26100.0,18463.887337288776,-7636.112662711224,-0.2925713663874032,-0.8327062646948445,0.0,0.0
5,1999-05-01,1999-05-03,2004-04-30,100_TQQQ,100.0,26100.0,16821.56342892323,-9278.43657107677,-0.3554956540642441,-0.9359445615502432,1.0,1.0
5,1999-05-01,1999-05-03,2004-04-30,50_TQQQ_only,50.0,13050.0,8410.781714461615,-4639.218285538385,-0.3554956540642441,-0.9359445615502432,1.0,1.0
5,1999-05-01,1999-05-03,2004-04-30,50_TQQQ_50_QQQ,100.0,26100.0,19728.513030816557,-6371.486969183443,-0.24411827468135794,-0.7467165542455578,0.4263261859281391,0.7141413059923921
5,1999-05-01,1999-05-03,2004-04-30,50_50_monthly_rebalance,100.0,26100.0,18151.227154064552,-7948.772845935448,-0.304550683752316,-0.8303307485590588,0.47783134017784273,0.6019732545486818
5,1999-05-01,1999-05-03,2004-04-30,50_TQQQ_50_cash,100.0,26100.0,21460.781714461613,-4639.218285538387,-0.1777478270321221,-0.46797228077512165,0.3919140423852271,0.8107201101765054
5,1999-05-01,1999-05-03,2004-04-30,30_TQQQ_70_cash,100.0,26100.0,23316.46902867697,-2783.530971323031,-0.1066486962192732,-0.280783368465073,0.21643367280312925,0.6473470679188492
5,1999-06-01,1999-06-01,2004-06-01,100_QQQ,100.0,26200.0,23968.69192854052,-2231.30807145948,-0.08516443020837705,-0.5745946224564,0.0,0.0
5,1999-06-01,1999-06-01,2004-06-01,100_QLD,100.0,26200.0,20689.081225727095,-5510.918774272905,-0.21034041123179026,-0.8308895487607271,0.0,0.0
5,1999-06-01,1999-06-01,2004-06-01,100_TQQQ,100.0,26200.0,19758.228769262347,-6441.771230737653,-0.24586913094418528,-0.9351185769828363,1.0,1.0
5,1999-06-01,1999-06-01,2004-06-01,50_TQQQ_only,50.0,13100.0,9879.114384631173,-3220.8856153688266,-0.24586913094418528,-0.9351185769828363,1.0,1.0
5,1999-06-01,1999-06-01,2004-06-01,50_TQQQ_50_QQQ,100.0,26200.0,21863.460348901433,-4336.5396510985665,-0.16551678057628116,-0.7455021642090391,0.4518550232661394,0.7079490639301687
5,1999-06-01,1999-06-01,2004-06-01,50_50_monthly_rebalance,100.0,26200.0,20336.619533656234,-5863.380466343766,-0.22379314757037272,-0.8278232423661308,0.49999999999999883,0.6018565325876061
5,1999-06-01,1999-06-01,2004-06-01,50_TQQQ_50_cash,100.0,26200.0,22979.114384631175,-3220.885615368825,-0.12293456547209258,-0.46755928849141815,0.4299171073032516,0.8020656096086767
5,1999-06-01,1999-06-01,2004-06-01,30_TQQQ_70_cash,100.0,26200.0,24267.468630778705,-1932.5313692212949,-0.07376073928325555,-0.2805355730948509,0.24425574504548153,0.6345894961761834
5,1999-07-01,1999-07-01,2004-07-01,100_QQQ,100.0,26200.0,24430.186782673263,-1769.8132173267368,-0.0675501227987304,-0.5735743979452803,0.0,0.0
5,1999-07-01,1999-07-01,2004-07-01,100_QLD,100.0,26200.0,21531.024213171266,-4668.975786828734,-0.1782051827033868,-0.829633773265473,0.0,0.0
