execution,strategy,actual_start,actual_end,contributed,final_value,profit,end_roi,worst_interim_roi,worst_date,deposited_at_worst,equity_at_worst,ending_tqqq_weight,mean_idle_weight,transaction_cost,turnover,trades,mean_calendar_wait_deployed_principal,deployed_principal
next_open,weekly_qqq,2021-09-16,2026-09-16,26200.0,45126.702583320366,18926.702583320366,0.7223932283710064,-0.22775025871767615,2022-06-16,4000.0,3088.9989651292954,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_open,weekly_qld,2021-09-16,2026-09-16,26200.0,60979.173994321965,34779.173994321965,1.3274493890962582,-0.42614282758709554,2022-06-16,4000.0,2295.428689651618,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_open,weekly_tqqq,2021-09-16,2026-09-16,26200.0,75466.77432000721,49266.774320007215,1.8804112335880616,-0.5850959258309602,2022-06-16,4000.0,1659.6162966761592,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_open,weekly_half_half,2021-09-16,2026-09-16,26200.0,60296.73845166379,34096.73845166379,1.301402230979534,-0.40642309227431817,2022-06-16,4000.0,2374.3076309027274,0.6257948295205412,0.0,13.09345327336332,26186.90654672664,524,,0.0
next_open,dip_cash,2021-09-16,2026-09-16,26200.0,75073.72847005408,48873.72847005408,1.8654094835898503,-0.5874884711502996,2022-06-16,4000.0,1650.046115398802,0.998667976107782,0.017468348637715656,13.043478260869566,26086.956521739135,158,6.854406130268199,26100.0
next_open,dip_bond,2021-09-16,2026-09-16,26200.0,75073.06582470176,48873.065824701756,1.8653841917825098,-0.5876954792858267,2022-06-16,4000.0,1649.2180828566934,0.9986682326057341,0.01747428926938497,33.39494280921612,66789.88561843224,479,6.854406130268199,26100.0
next_close,weekly_qqq,2021-09-16,2026-09-16,26200.0,45072.35767710129,18872.35767710129,0.7203189953092095,-0.22807872838435536,2022-06-16,4000.0,3087.6850864625785,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_close,weekly_qld,2021-09-16,2026-09-16,26200.0,60844.71883472664,34644.71883472664,1.322317512775826,-0.426253981887273,2022-06-16,4000.0,2294.984072450908,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_close,weekly_tqqq,2021-09-16,2026-09-16,26200.0,75251.51261795225,49051.51261795225,1.8721951380897806,-0.5844350219801455,2022-06-16,4000.0,1662.259912079418,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
next_close,weekly_half_half,2021-09-16,2026-09-16,26200.0,60161.93514752677,33961.93514752677,1.296257066699495,-0.4062568751822505,2022-06-16,4000.0,2374.972499270998,0.6254080128358853,0.0,13.09345327336332,26186.90654672664,524,,0.0
next_close,dip_cash,2021-09-16,2026-09-16,26200.0,75028.92221215102,48828.922212151025,1.8636993210744666,-0.5829536639521539,2022-06-16,4000.0,1668.1853441913845,0.9986671806411234,0.017405950214303863,13.043478260869566,26086.956521739135,158,6.854406130268199,26100.0
next_close,dip_bond,2021-09-16,2026-09-16,26200.0,75027.16503314782,48827.165033147816,1.8636322531735807,-0.5831727111648859,2022-06-16,4000.0,1667.3091553404565,0.9986675504291289,0.017412110042580097,33.39496633430109,66789.93266860218,479,6.854406130268199,26100.0
