date,deposit,deposited,equity,tqqq_value,bond_value,cash,transaction_cost,turnover,buy_count,sell_count,tqqq_units,deployed_principal,principal_wait_days,profit,roi
2021-09-16,100.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-17,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
2021-09-20,100.0,200.0,199.9000499750125,199.9000499750125,0.0,0.0,0.09995002498750626,199.9000499750125,1,0,6.285804813686071,200.0,400.0,-0.09995002498749272,-0.0004997501249374637
2021-09-21,0.0,200.0,200.1545571630178,200.1545571630178,0.0,0.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,0.15455716301781308,0.0007727858150890654
2021-09-22,0.0,200.0,206.00978108589823,206.00978108589823,0.0,0.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,6.009781085898226,0.030048905429491127
2021-09-23,0.0,200.0,211.7301742269665,211.7301742269665,0.0,0.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,11.730174226966511,0.058650871134832555
2021-09-24,0.0,200.0,212.3292036758782,212.3292036758782,0.0,0.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,12.329203675878205,0.06164601837939102
2021-09-27,100.0,300.0,307.2077920268367,207.20779202683673,0.0,100.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,7.207792026836728,0.024025973422789094
2021-09-28,0.0,300.0,289.9267563591204,189.92675635912045,0.0,100.0,0.0,0.0,0,0,6.285804813686071,0.0,0.0,-10.073243640879582,-0.03357747880293194
2021-09-29,0.0,300.0,288.6188842457067,288.6188842457067,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,9.615799761790907,100.0,200.0,-11.381115754293319,-0.037937052514311065
2021-09-30,0.0,300.0,285.36594411098923,285.36594411098923,0.0,0.0,0.0,0.0,0,0,9.615799761790907,0.0,0.0,-14.634055889010767,-0.048780186296702555
2021-10-01,0.0,300.0,290.5660411470859,290.5660411470859,0.0,0.0,0.0,0.0,0,0,9.615799761790907,0.0,0.0,-9.433958852914088,-0.031446529509713626
2021-10-04,100.0,400.0,372.697759577936,272.697759577936,0.0,100.0,0.0,0.0,0,0,9.615799761790907,0.0,0.0,-27.302240422064017,-0.06825560105516004
2021-10-05,0.0,400.0,383.13968205028084,383.13968205028084,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,13.009636374449437,100.0,100.0,-16.86031794971916,-0.0421507948742979
2021-10-06,0.0,400.0,390.7020691734321,390.7020691734321,0.0,0.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,-9.297930826567892,-0.02324482706641973
2021-10-07,0.0,400.0,401.2708106372945,401.2708106372945,0.0,0.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,1.2708106372945167,0.0031770265932362916
2021-10-08,0.0,400.0,395.1031390744817,395.1031390744817,0.0,0.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,-4.896860925518297,-0.012242152313795742
2021-10-11,100.0,500.0,486.33199184866066,386.33199184866066,0.0,100.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,-13.668008151339336,-0.02733601630267867
2021-10-12,0.0,500.0,482.3958105917824,382.3958105917824,0.0,100.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,-17.60418940821762,-0.035208378816435244
2021-10-13,0.0,500.0,491.352913275272,391.352913275272,0.0,100.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,-8.647086724728013,-0.017294173449456024
2021-10-14,0.0,500.0,512.9553344749925,412.95533447499247,0.0,100.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,12.955334474992469,0.02591066894998494
2021-10-15,0.0,500.0,520.6106496991537,420.61064969915367,0.0,100.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,20.61064969915367,0.041221299398307334
2021-10-18,100.0,600.0,633.2248515695458,433.22485156954576,0.0,200.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,33.22485156954576,0.05537475261590961
2021-10-19,0.0,600.0,642.7399446956017,442.7399446956017,0.0,200.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,42.73994469560171,0.07123324115933617
2021-10-20,0.0,600.0,641.3452043213513,441.3452043213512,0.0,200.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,41.345204321351275,0.06890867386891879
2021-10-21,0.0,600.0,649.2486338531221,449.24863385312216,0.0,200.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,49.2486338531221,0.08208105642187016
2021-10-22,0.0,600.0,637.8739365225565,437.8739365225565,0.0,200.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,37.873936522556505,0.06312322753759418
2021-10-25,100.0,700.0,751.0151362592369,451.01513625923684,0.0,300.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,51.0151362592369,0.07287876608462414
2021-10-26,0.0,700.0,755.2301762608814,455.2301762608814,0.0,300.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,55.23017626088142,0.07890025180125917
2021-10-27,0.0,700.0,758.8254143647885,458.8254143647885,0.0,300.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,58.82541436478846,0.08403630623541208
2021-10-28,0.0,700.0,773.8881538307105,473.88815383071045,0.0,300.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,73.88815383071051,0.10555450547244358
2021-10-29,0.0,700.0,780.8926249530318,480.89262495303177,0.0,300.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,80.89262495303183,0.11556089279004547
2021-11-01,100.0,800.0,885.6347620766132,485.63476207661324,0.0,400.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,85.63476207661324,0.10704345259576656
2021-11-02,0.0,800.0,892.1122353326462,492.1122353326462,0.0,400.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,92.11223533264615,0.11514029416580769
2021-11-03,0.0,800.0,907.7329404272225,507.73294042722245,0.0,400.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,107.7329404272225,0.13466617553402813
2021-11-04,0.0,800.0,926.6698263696421,526.6698263696421,0.0,400.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,126.66982636964212,0.15833728296205266
2021-11-05,0.0,800.0,928.6224827447226,528.6224827447226,0.0,400.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,128.62248274472256,0.1607781034309032
2021-11-08,100.0,900.0,1026.452952777432,526.452952777432,0.0,500.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,126.45295277743207,0.14050328086381342
2021-11-09,0.0,900.0,1015.6052036853303,515.6052036853303,0.0,500.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,115.60520368533025,0.12845022631703362
2021-11-10,0.0,900.0,993.0110944864473,493.0110944864473,0.0,500.0,0.0,0.0,0,0,13.009636374449437,0.0,0.0,93.01109448644729,0.10334566054049699
2021-11-11,0.0,900.0,996.7593362055886,996.7593362055886,0.0,0.0,0.24987506246876565,499.75012493753127,1,0,26.091018481905785,500.0,8500.0,96.75933620558862,0.10751037356176514
2021-11-12,0.0,900.0,1028.3975227480662,1028.3975227480662,0.0,0.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,128.3975227480662,0.14266391416451799
2021-11-15,100.0,1000.0,1128.0866926290516,1028.0866926290516,0.0,100.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,128.08669262905164,0.12808669262905165
2021-11-16,0.0,1000.0,1149.344765571695,1049.344765571695,0.0,100.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,149.344765571695,0.14934476557169502
2021-11-17,0.0,1000.0,1150.58788698908,1050.58788698908,0.0,100.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,150.58788698908006,0.15058788698908007
2021-11-18,0.0,1000.0,1182.7232225691748,1082.7232225691748,0.0,100.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,182.72322256917482,0.1827232225691748
2021-11-19,0.0,1000.0,1201.059810886958,1101.059810886958,0.0,100.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,201.05981088695808,0.20105981088695807
2021-11-22,100.0,1100.0,1262.8948885505297,1062.8948885505297,0.0,200.0,0.0,0.0,0,0,26.091018481905785,0.0,0.0,162.89488855052969,0.14808626231866334
2021-11-23,0.0,1100.0,1248.3123251896634,1248.3123251896634,0.0,0.0,0.09995002498750626,199.9000499750125,1,0,31.06577509410217,200.0,900.0,148.3123251896634,0.13482938653605764
2021-11-24,0.0,1100.0,1259.8577051059226,1259.8577051059226,0.0,0.0,0.0,0.0,0,0,31.06577509410217,0.0,0.0,159.8577051059226,0.14532518645992965
2021-11-26,0.0,1100.0,1190.362988856615,1190.362988856615,0.0,0.0,0.0,0.0,0,0,31.06577509410217,0.0,0.0,90.36298885661495,0.08214817168783177
2021-11-29,100.0,1200.0,1364.2486436976935,1364.2486436976935,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,33.52170200168627,100.0,0.0,164.24864369769352,0.13687386974807794
2021-11-30,0.0,1200.0,1305.63093299606,1305.63093299606,0.0,0.0,0.0,0.0,0,0,33.52170200168627,0.0,0.0,105.63093299605998,0.08802577749671665
2021-12-01,0.0,1200.0,1238.6285769142212,1238.6285769142212,0.0,0.0,0.0,0.0,0,0,33.52170200168627,0.0,0.0,38.628576914221185,0.032190480761850986
2021-12-02,0.0,1200.0,1261.9477604748806,1261.9477604748806,0.0,0.0,0.0,0.0,0,0,33.52170200168627,0.0,0.0,61.947760474880624,0.05162313372906719
2021-12-03,0.0,1200.0,1198.5389517168464,1198.5389517168464,0.0,0.0,0.0,0.0,0,0,33.52170200168627,0.0,0.0,-1.4610482831535592,-0.0012175402359612994
2021-12-06,100.0,1300.0,1326.5198478563898,1326.5198478563898,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,36.25329941279463,100.0,0.0,26.519847856389788,0.020399882966453682
2021-12-07,0.0,1300.0,1446.1386979299964,1446.1386979299964,0.0,0.0,0.0,0.0,0,0,36.25329941279463,0.0,0.0,146.1386979299964,0.11241438302307415
2021-12-08,0.0,1300.0,1466.2626092564178,1466.2626092564178,0.0,0.0,0.0,0.0,0,0,36.25329941279463,0.0,0.0,166.26260925641782,0.12789431481262908
2021-12-09,0.0,1300.0,1402.9551413296485,1402.9551413296485,0.0,0.0,0.0,0.0,0,0,36.25329941279463,0.0,0.0,102.95514132964854,0.0791962625612681
2021-12-10,0.0,1300.0,1446.3978634386467,1446.3978634386467,0.0,0.0,0.0,0.0,0,0,36.25329941279463,0.0,0.0,146.3978634386467,0.11261374110665132
2021-12-13,100.0,1400.0,1484.213353852453,1384.213353852453,0.0,100.0,0.0,0.0,0,0,36.25329941279463,0.0,0.0,84.21335385245311,0.06015239560889508
2021-12-14,0.0,1400.0,1442.966020230664,1442.966020230664,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,38.95134485307423,100.0,100.0,42.96602023066407,0.030690014450474336
2021-12-15,0.0,1400.0,1538.452416596389,1538.452416596389,0.0,0.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,138.45241659638896,0.09889458328313497
2021-12-16,0.0,1400.0,1421.066438469608,1421.066438469608,0.0,0.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,21.0664384696081,0.015047456049720073
2021-12-17,0.0,1400.0,1399.352145431665,1399.352145431665,0.0,0.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,-0.6478545683351058,-0.00046275326309650416
2021-12-20,100.0,1500.0,1457.5015595478092,1357.5015595478092,0.0,100.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,-42.498440452190835,-0.02833229363479389
2021-12-21,0.0,1500.0,1548.2554412133293,1448.2554412133293,0.0,100.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,48.25544121332928,0.032170294142219516
2021-12-22,0.0,1500.0,1599.942376881764,1499.942376881764,0.0,100.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,99.94237688176395,0.0666282512545093
2021-12-23,0.0,1500.0,1635.5757608790905,1535.5757608790905,0.0,100.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,135.57576087909047,0.0903838405860603
2021-12-27,100.0,1600.0,1808.9768409978797,1608.9768409978797,0.0,200.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,208.97684099787966,0.13061052562367478
2021-12-28,0.0,1600.0,1790.0467821970615,1590.0467821970615,0.0,200.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,190.04678219706148,0.11877923887316343
2021-12-29,0.0,1600.0,1787.5407039259892,1587.5407039259892,0.0,200.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,187.5407039259892,0.11721293995374324
2021-12-30,0.0,1600.0,1772.6935348875643,1572.6935348875643,0.0,200.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,172.69353488756428,0.10793345930472768
2021-12-31,0.0,1600.0,1743.4630872626465,1543.4630872626465,0.0,200.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,143.46308726264647,0.08966442953915404
2022-01-03,100.0,1700.0,1888.0050401406875,1588.0050401406875,0.0,300.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,188.00504014068747,0.11059120008275733
2022-01-04,0.0,1700.0,1826.2961687893833,1526.2961687893833,0.0,300.0,0.0,0.0,0,0,38.95134485307423,0.0,0.0,126.29616878938327,0.07429186399375487
2022-01-05,0.0,1700.0,1685.7470198867325,1685.7470198867325,0.0,0.0,0.14992503748125938,299.85007496251876,1,0,47.37878508725695,300.0,2700.0,-14.25298011326754,-0.008384105948980905
2022-01-06,0.0,1700.0,1681.1191009912236,1681.1191009912236,0.0,0.0,0.0,0.0,0,0,47.37878508725695,0.0,0.0,-18.880899008776396,-0.011106411181633174
2022-01-07,0.0,1700.0,1626.1506807333383,1626.1506807333383,0.0,0.0,0.0,0.0,0,0,47.37878508725695,0.0,0.0,-73.84931926666172,-0.04344077603921278
2022-01-10,100.0,1800.0,1732.0826966449856,1732.0826966449856,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,50.280210219896425,100.0,0.0,-67.91730335501438,-0.03773183519723021
2022-01-11,0.0,1800.0,1808.2656238058632,1808.2656238058632,0.0,0.0,0.0,0.0,0,0,50.280210219896425,0.0,0.0,8.265623805863243,0.004592013225479579
2022-01-12,0.0,1800.0,1828.8688022932627,1828.8688022932627,0.0,0.0,0.0,0.0,0,0,50.280210219896425,0.0,0.0,28.86880229326266,0.016038223496257033
