years,window_start,strategy,actual_start,actual_end,contributed,final_value,profit,end_roi,worst_interim_roi,worst_date,deposited_at_worst,equity_at_worst,ending_tqqq_weight,mean_idle_weight,transaction_cost,turnover,trades,mean_calendar_wait_deployed_principal,deployed_principal
5,1999-04-01,weekly_qqq,1999-04-01,2004-04-01,26200.0,23418.73193560102,-2781.2680643989806,-0.10615526963354888,-0.5771282764321474,2002-10-07,18500.0,7823.126886005272,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_qld,1999-04-01,2004-04-01,26200.0,19659.933447383166,-6540.066552616834,-0.24962086078690207,-0.8358115930322165,2002-08-05,17600.0,2889.715962632989,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_tqqq,1999-04-01,2004-04-01,26200.0,18679.315874415264,-7520.684125584736,-0.2870490124268983,-0.937056337889381,2001-04-04,10600.0,667.2028183725616,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_half_half,1999-04-01,2004-04-01,26200.0,21049.023905008144,-5150.976094991856,-0.19660214103022353,-0.748243892974824,2002-08-05,17600.0,4430.9074836431,0.443709788128725,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-04-01,dip_cash,1999-04-01,2004-04-01,26200.0,18927.67988292444,-7272.32011707556,-0.2775694701173878,-0.9336218220888186,2001-04-04,10600.0,703.608685858522,0.9947167322873939,0.013847333558193488,13.043478260869566,26086.956521739132,214,3.2950191570881224,26100.0
5,1999-04-01,dip_bond,1999-04-01,2004-04-01,26200.0,18917.273034948277,-7282.726965051723,-0.27796667805540926,-0.9336463179563188,2001-04-04,10600.0,703.3490296630205,0.9947160955689696,0.01384940860399494,31.381562669363273,62763.12533872654,544,3.2950191570881224,26100.0
5,1999-05-01,weekly_qqq,1999-05-03,2004-04-30,26100.0,22635.462632709885,-3464.537367290115,-0.13274089529847183,-0.5756849203251059,2002-10-07,18000.0,7637.671434148094,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_qld,1999-05-03,2004-04-30,26100.0,18463.887337288776,-7636.112662711224,-0.2925713663874032,-0.8327062646948445,2002-08-05,17100.0,2860.7228737181576,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_tqqq,1999-05-03,2004-04-30,26100.0,16821.56342892323,-9278.43657107677,-0.3554956540642441,-0.9359445615502432,2001-04-04,10100.0,646.9599283425437,1.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_half_half,1999-05-03,2004-04-30,26100.0,19728.513030816557,-6371.486969183443,-0.24411827468135797,-0.7467165542455579,2002-08-05,17100.0,4331.14692240096,0.4263261859281391,0.0,13.043478260869566,26086.956521739135,522,,0.0
5,1999-05-01,dip_cash,1999-05-03,2004-04-30,26100.0,17057.06318736291,-9042.93681263709,-0.3464726748136816,-0.9324628562953685,2001-04-04,10100.0,682.1251514167774,1.0,0.015997370908885776,13.043478260869566,26086.956521739132,213,3.3371647509578546,26100.0
5,1999-05-01,dip_bond,1999-05-03,2004-04-30,26100.0,17047.51396366652,-9052.486036333481,-0.3468385454533901,-0.932487691245068,2001-04-04,10100.0,681.8743184248125,1.0,0.01600065903245244,31.531347071270797,63062.69414254159,545,3.3371647509578546,26100.0
5,1999-06-01,weekly_qqq,1999-06-01,2004-06-01,26200.0,23968.69192854052,-2231.30807145948,-0.08516443020837709,-0.5745946224564,2002-10-07,17600.0,7487.134644767359,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_qld,1999-06-01,2004-06-01,26200.0,20689.081225727095,-5510.918774272905,-0.21034041123179026,-0.830889548760727,2001-09-21,12100.0,2046.2364599952027,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_tqqq,1999-06-01,2004-06-01,26200.0,19758.228769262347,-6441.771230737653,-0.24586913094418525,-0.9351185769828363,2001-04-04,9700.0,629.3498032664879,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_half_half,1999-06-01,2004-06-01,26200.0,21863.460348901433,-4336.5396510985665,-0.16551678057628116,-0.7455021642090391,2002-08-05,16700.0,4250.113857709046,0.4518550232661394,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-06-01,dip_cash,1999-06-01,2004-06-01,26200.0,19979.941190607482,-6220.058809392518,-0.23740682478597397,-0.9315428579840894,2001-04-04,9700.0,664.0342775543314,0.9799799210526186,0.01606727004802584,12.893553223388306,25787.106446776612,210,3.3488372093023258,25800.0
5,1999-06-01,dip_bond,1999-06-01,2004-06-01,26200.0,19968.958738794354,-6231.041261205646,-0.23782600233609336,-0.9315676770225895,2001-04-04,9700.0,663.7935328808815,0.9799730601275797,0.016070941681404993,31.281535573058115,62563.07114611623,540,3.3488372093023258,25800.0
5,1999-07-01,weekly_qqq,1999-07-01,2004-07-01,26200.0,24430.186782673263,-1769.8132173267368,-0.0675501227987304,-0.5735743979452803,2002-10-07,17200.0,7334.520355341179,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_qld,1999-07-01,2004-07-01,26200.0,21531.02421317127,-4668.975786828731,-0.17820518270338667,-0.829633773265473,2001-09-21,11700.0,1993.2848527939664,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_tqqq,1999-07-01,2004-07-01,26200.0,20791.352912463783,-5408.647087536217,-0.20643691173802356,-0.934380359360333,2001-04-04,9300.0,610.2626579489031,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_half_half,1999-07-01,2004-07-01,26200.0,22610.769847568525,-3589.2301524314753,-0.1369935172683769,-0.7443003779341553,2002-08-05,16300.0,4167.903839673268,0.45976658584890256,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-07-01,dip_cash,1999-07-01,2004-07-01,26200.0,21023.660206627952,-5176.339793372048,-0.19757022112107053,-0.9306039614703132,2001-04-04,9300.0,645.3831583260876,0.9904869086527118,0.02191754117711807,12.993503248375813,25987.006496751626,209,3.526923076923077,26000.0
5,1999-07-01,dip_bond,1999-07-01,2004-07-01,26200.0,21011.907171065486,-5188.092828934514,-0.1980188102646761,-0.9306288572945206,2001-04-04,9300.0,645.1516271609582,0.9904842666662774,0.021918845618361316,31.581298158697308,63162.59631739462,540,3.526923076923077,26000.0
5,1999-08-01,weekly_qqq,1999-08-02,2004-07-30,26100.0,23066.851890849826,-3033.1481091501737,-0.11621257123180742,-0.5710609004334868,2002-10-07,16700.0,7163.2829627607725,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_qld,1999-08-02,2004-07-30,26100.0,19265.866378772316,-6834.133621227684,-0.2618442000470377,-0.8275618980265411,2001-04-04,8800.0,1517.4552973664388,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_tqqq,1999-08-02,2004-07-30,26100.0,17426.00162837603,-8673.99837162397,-0.3323371023610716,-0.9326859681425278,2001-04-04,8800.0,592.3634803457555,1.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_half_half,1999-08-02,2004-07-30,26100.0,20246.42675961293,-5853.573240387072,-0.22427483679643953,-0.7420361319386485,2002-08-05,15800.0,4075.8291153693544,0.43034758269387535,0.0,13.043478260869566,26086.956521739135,522,,0.0
5,1999-08-01,dip_cash,1999-08-02,2004-07-30,26100.0,17621.078010614066,-8478.921989385934,-0.32486291147072544,-0.9287405620582397,2001-04-04,8800.0,627.0830538874902,1.0,0.016349171800361554,13.043478260869566,26086.956521739135,212,3.421455938697318,26100.0
5,1999-08-01,dip_bond,1999-08-02,2004-07-30,26100.0,17611.194393119924,-8488.805606880076,-0.32524159413333625,-0.928767030415764,2001-04-04,8800.0,626.8501323412763,1.0,0.016351945042563567,31.430945144939763,62861.89028987953,541,3.421455938697318,26100.0
5,1999-09-01,weekly_qqq,1999-09-01,2004-09-01,26200.0,22974.514245836144,-3225.4857541638557,-0.12311014328869678,-0.5694210531925935,2002-08-05,15400.0,6630.91578083406,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_qld,1999-09-01,2004-09-01,26200.0,19024.789972478768,-7175.210027521232,-0.27386297814966537,-0.8287585654933544,2001-04-04,8400.0,1438.4280498558237,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_tqqq,1999-09-01,2004-09-01,26200.0,16885.66708404685,-9314.33291595315,-0.35550888992187596,-0.9313890619792482,2001-04-04,8400.0,576.3318793743148,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_half_half,1999-09-01,2004-09-01,26200.0,19930.090664941497,-6269.909335058503,-0.23930951660528635,-0.7402503576792564,2002-08-05,15400.0,4000.1444917394515,0.42362243523934356,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-09-01,dip_cash,1999-09-01,2004-09-01,26200.0,17065.512421650878,-9134.487578349122,-0.3486445640591268,-0.9273214407844601,2001-04-04,8400.0,610.4998974105345,1.0,0.018769410744469354,13.09345327336332,26186.906546726637,210,3.49618320610687,26200.0
