scenario,years,leverage,windows,winner_count,end_below_cost_count,worst_roi,worst_start,worst_end,worst_contributed,worst_final_value
higher_financing,5,1,270,63,21,-0.3292474829163411,2003-12-01,2008-12-01,26200.0,17573.715947591863
higher_financing,5,2,270,29,36,-0.6789360520135441,2003-12-01,2008-12-01,26200.0,8411.875437245142
higher_financing,5,3,270,178,47,-0.866707066214249,2003-12-01,2008-12-01,26200.0,3492.2748651866764
higher_financing,10,1,210,36,4,-0.2177257232953539,1999-04-01,2009-04-01,52300.0,40912.94467165299
higher_financing,10,2,210,15,16,-0.6215611079954813,1999-04-01,2009-04-01,52300.0,19792.354051836326
higher_financing,10,3,210,159,23,-0.8298961153089761,1999-04-01,2009-04-01,52300.0,8896.433169340553
ideal_no_cost,5,1,270,35,19,-0.3257246880829361,2003-12-01,2008-12-01,26200.0,17666.013172227074
ideal_no_cost,5,2,270,19,26,-0.6243756869149092,2003-12-01,2008-12-01,26200.0,9841.35700282938
ideal_no_cost,5,3,270,216,35,-0.8259692136406721,2003-12-01,2008-12-01,26200.0,4559.606602614392
ideal_no_cost,10,1,210,18,4,-0.21017473713641943,1999-04-01,2009-04-01,52300.0,41307.861247765264
ideal_no_cost,10,2,210,24,9,-0.5255501076912306,1999-04-01,2009-04-01,52300.0,24813.729367748645
ideal_no_cost,10,3,210,168,16,-0.7613202232692634,1999-04-01,2009-04-01,52300.0,12482.952323017525
illustrative_cost,5,1,270,56,21,-0.3292474829163411,2003-12-01,2008-12-01,26200.0,17573.715947591863
illustrative_cost,5,2,270,20,32,-0.6707708357560576,2003-12-01,2008-12-01,26200.0,8625.804103191293
illustrative_cost,5,3,270,194,42,-0.8605719045802426,2003-12-01,2008-12-01,26200.0,3653.0160999976456
illustrative_cost,10,1,210,30,4,-0.2177257232953539,1999-04-01,2009-04-01,52300.0,40912.94467165299
illustrative_cost,10,2,210,20,16,-0.6059697624619578,1999-04-01,2009-04-01,52300.0,20607.78142323961
illustrative_cost,10,3,210,160,20,-0.81871020553426,1999-04-01,2009-04-01,52300.0,9481.456250558203
