date,equity,cash,cost,QQQ,QLD,TQQQ
2010-02-11,531.2869820990164,3.637978807091713e-12,0.2498750624687638,0.0,0.0,0.9999999999999931
2010-02-12,533.4610565611617,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999932
2010-02-16,554.1252769586301,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999934
2010-02-17,563.5287574525074,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999936
2010-02-18,574.212321714207,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999937
2010-02-19,574.212321714207,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999937
2010-02-22,570.1811033698982,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999937
2010-02-23,547.9200996797266,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999933
2010-02-24,564.4893305250549,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999936
2010-02-25,564.1675477879555,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999936
2010-02-26,571.2054861594603,3.637978807091713e-12,0.0,0.0,0.0,0.9999999999999937
2010-03-01,595.7069156349008,8.185452315956354e-12,2.2737367544323206e-15,0.0,0.0,0.9999999999999862
2010-03-02,599.2884622437966,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999863
2010-03-03,602.6170805356425,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999865
2010-03-04,609.2693494346662,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999866
2010-03-05,636.2002462770442,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999871
2010-03-08,639.5927513042717,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999872
2010-03-09,650.9144897544837,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999875
2010-03-10,666.8428892776398,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999877
2010-03-11,672.9841798211619,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999878
2010-03-12,674.5193869294919,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999879
2010-03-15,669.9773827755989,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999878
2010-03-16,682.6456718443073,8.185452315956354e-12,0.0,0.0,0.0,0.999999999999988
2010-03-17,687.3792976951615,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999881
2010-03-18,694.351000271093,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999882
2010-03-19,682.068265147315,8.185452315956354e-12,0.0,0.0,0.0,0.999999999999988
2010-03-22,700.4921367778809,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999883
2010-03-23,715.1428786117738,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999886
2010-03-24,704.97044674231,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999883
2010-03-25,700.55621605918,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999883
2010-03-26,704.2041139911995,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999883
2010-03-29,713.8630644082358,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999886
2010-03-30,721.3481714182276,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999887
2010-03-31,711.6251417198926,8.185452315956354e-12,0.0,0.0,0.0,0.9999999999999885
2010-04-01,710.2176310639586,1.0118128557223827e-11,9.663381206337363e-16,0.0,0.0,0.9999999999999858
2010-04-05,730.7518059488388,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999861
2010-04-06,736.3181543831106,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999862
2010-04-07,732.1592395864059,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999862
2010-04-08,734.7829472747803,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999862
2010-04-09,748.023559828263,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999865
2010-04-12,751.0302798554588,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999866
2010-04-13,762.3549064944314,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999867
2010-04-14,789.2220706381618,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999872
2010-04-15,799.7775148464468,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999873
2010-04-16,771.308907798813,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999869
2010-04-19,770.0954834275825,1.0118128557223827e-11,0.0,0.0,0.0,0.9999999999999869
