execution_date,signal_date,side,price,shares,notional,regime
2021-09-16,,buy,39.88435976581641,2.5072484700056976,100.0,always
2021-09-20,,buy,37.99687183233724,2.6317955973126974,100.0,always
2021-09-27,,buy,38.54038231048158,2.5946810593210863,100.0,always
2021-10-04,,buy,36.104440937956944,2.7697423752342067,100.0,always
2021-10-11,,buy,36.297131907467275,2.755038614481476,100.0,always
2021-10-18,,buy,37.90298986578752,2.638314295365477,100.0,always
2021-10-25,,buy,39.533540621866315,2.5294976980809354,100.0,always
2021-11-01,,buy,41.8706658180559,2.3883068980688855,100.0,always
2021-11-08,,buy,44.47955340648416,2.2482240117415873,100.0,always
2021-11-15,,buy,43.861922956632064,2.279881803150167,100.0,always
2021-11-22,,buy,46.006353050428196,2.173612846260355,100.0,always
2021-11-29,,buy,43.797688741601355,2.2832255051170023,100.0,always
2021-12-06,,buy,41.055387714239814,2.4357339089338477,100.0,always
2021-12-13,,buy,44.118860913473114,2.266604303228096,100.0,always
2021-12-20,,buy,40.12646653180604,2.4921207532872476,100.0,always
2021-12-27,,buy,44.17321449298918,2.2638153267263625,100.0,always
2022-01-03,,buy,44.29674011871994,2.2575024647861093,100.0,always
2022-01-10,,buy,39.01966369222604,2.5628104021799447,100.0,always
2022-01-18,,buy,38.78743439621059,2.5781545378461455,100.0,always
2022-01-24,,buy,33.11508085467936,3.019772182916757,100.0,always
2022-01-31,,buy,34.44422963450903,2.903243912292696,100.0,always
2022-02-07,,buy,35.36821836330112,2.8273971556272204,100.0,always
2022-02-14,,buy,32.94213244493652,3.035626189869528,100.0,always
2022-02-22,,buy,31.38076119780951,3.1866658482134067,100.0,always
2022-02-28,,buy,32.06263047969876,3.1188956895884585,100.0,always
2022-03-07,,buy,31.05465370390755,3.2201292905551604,100.0,always
2022-03-14,,buy,28.39635506691952,3.521578729535451,100.0,always
2022-03-21,,buy,33.317671017188026,3.0014102710964305,100.0,always
2022-03-28,,buy,35.032220656888036,2.8545150186001127,100.0,always
2022-04-04,,buy,35.65479847467927,2.8046715807695937,100.0,always
2022-04-11,,buy,32.14663312146307,3.1107456766050516,100.0,always
2022-04-18,,buy,30.718660361214788,3.25535029275754,100.0,always
2022-04-25,,buy,28.218480495645895,3.5437769236167758,100.0,always
2022-05-02,,buy,26.21734729201635,3.814268426403757,100.0,always
2022-05-09,,buy,24.56702334841997,4.070497210091654,100.0,always
2022-05-16,,buy,23.909859679405447,4.1823750260706944,100.0,always
2022-05-23,,buy,22.195304461780147,4.505457457103052,100.0,always
2022-05-31,,buy,25.179719841916082,3.9714500648864397,100.0,always
2022-06-06,,buy,25.392186086671288,3.9382194057128226,100.0,always
2022-06-13,,buy,20.490638656468274,4.880277363557579,100.0,always
2022-06-21,,buy,20.327579713048014,4.919424811592856,100.0,always
2022-06-27,,buy,22.87223179361775,4.3721137885592745,100.0,always
2022-07-05,,buy,20.169468026987296,4.957988969575067,100.0,always
2022-07-11,,buy,22.30895436177191,4.482505023693876,100.0,always
2022-07-18,,buy,22.546125132295067,4.435351946874455,100.0,always
2022-07-25,,buy,23.61833935496556,4.2339979325843595,100.0,always
2022-08-01,,buy,25.40700558267809,3.9359223059398114,100.0,always
2022-08-08,,buy,26.849800814076104,3.724422415363865,100.0,always
2022-08-15,,buy,27.91707265006722,3.5820374597821316,100.0,always
2022-08-22,,buy,26.049347800069896,3.838867704769625,100.0,always
2022-08-29,,buy,23.717159660339355,4.216356487544477,100.0,always
2022-09-06,,buy,22.328716093376386,4.478537842561584,100.0,always
2022-09-12,,buy,24.275501003910122,4.119379451072615,100.0,always
2022-09-19,,buy,20.846391942948475,4.796993181058658,100.0,always
2022-09-26,,buy,19.220781571053593,5.202702066527801,100.0,always
2022-10-03,,buy,18.351150157352983,5.449249727812388,100.0,always
2022-10-10,,buy,18.30668057127965,5.462486746881056,100.0,always
2022-10-17,,buy,17.911393385651024,5.583038563605603,100.0,always
2022-10-24,,buy,19.08243313260908,5.240421874143223,100.0,always
2022-10-31,,buy,19.453011492790917,5.140592243882597,100.0,always
2022-11-07,,buy,17.619872434425336,5.675409987907864,100.0,always
2022-11-14,,buy,20.238641677781906,4.941043059711886,100.0,always
2022-11-21,,buy,19.853240069407683,5.03696120383354,100.0,always
2022-11-28,,buy,20.036057403944422,4.991001871471649,100.0,always
2022-12-05,,buy,20.737690484609796,4.822137743555083,100.0,always
2022-12-12,,buy,19.551833219183845,5.114609912991797,100.0,always
2022-12-19,,buy,18.44008894747698,5.422967334096414,100.0,always
2022-12-27,,buy,17.458551084321034,5.727852186416936,100.0,always
2023-01-03,,buy,17.661728386959254,5.661960019373653,100.0,always
2023-01-09,,buy,17.909504799243432,5.5836273041019195,100.0,always
2023-01-17,,buy,19.202916063119865,5.207542420708429,100.0,always
2023-01-23,,buy,19.53989753796044,5.117734103043712,100.0,always
2023-01-30,,buy,20.81348400174328,4.804577647433955,100.0,always
2023-02-06,,buy,22.265475432879253,4.491258239755832,100.0,always
2023-02-13,,buy,21.8739803263851,4.571641672337831,100.0,always
2023-02-21,,buy,21.259488009364194,4.703782139812251,100.0,always
2023-02-27,,buy,20.907641372175654,4.782940276232315,100.0,always
2023-03-06,,buy,21.715403149229882,4.605026179472354,100.0,always
2023-03-13,,buy,19.673699428836574,5.082928117394422,100.0,always
2023-03-20,,buy,22.16140566652518,4.512349149000511,100.0,always
2023-03-27,,buy,23.197123257013764,4.310879366033653,100.0,always
2023-04-03,,buy,24.227886234097983,4.127475217349396,100.0,always
2023-04-10,,buy,23.6332115812817,4.231333505227168,100.0,always
2023-04-17,,buy,24.069308009168786,4.15466867439258,100.0,always
2023-04-24,,buy,23.762061753871983,4.208389029361276,100.0,always
2023-05-01,,buy,24.57973250556667,4.068392525319492,100.0,always
2023-05-08,,buy,24.56982394562601,4.070033233502363,100.0,always
2023-05-15,,buy,25.015822062635085,3.9974700711261106,100.0,always
2023-05-22,,buy,26.65117032123026,3.752180440659307,100.0,always
2023-05-30,,buy,29.242942744832533,3.419628485155476,100.0,always
2023-06-05,,buy,29.495681694393177,3.390326795498643,100.0,always
2023-06-12,,buy,29.733546996107517,3.3632045316722965,100.0,always
2023-06-20,,buy,31.403581765920205,3.1843501402289722,100.0,always
2023-06-26,,buy,30.69493103933461,3.2578669055113068,100.0,always
2023-07-03,,buy,32.003215121945225,3.124686054790416,100.0,always
2023-07-10,,buy,31.245008078602176,3.2005112544196774,100.0,always
2023-07-17,,buy,33.60386801177659,2.97584789837154,100.0,always
2023-07-24,,buy,32.98442501402914,3.0317339155515786,100.0,always
2023-07-31,,buy,34.1985466319276,2.924100871194347,100.0,always
2023-08-07,,buy,32.40460971960121,3.0859806942686627,100.0,always
2023-08-14,,buy,30.903069778416214,3.2359244798988707,100.0,always
2023-08-21,,buy,29.862392533996434,3.3486935076001147,100.0,always
2023-08-28,,buy,31.031912388023578,3.2224891186079105,100.0,always
2023-09-05,,buy,32.63752291797277,3.063958017013975,100.0,always
2023-09-11,,buy,32.399653069900396,3.0864528019561113,100.0,always
2023-09-18,,buy,31.33420648387433,3.1914004285209354,100.0,always
2023-09-25,,buy,29.299449183745676,3.413033445539193,100.0,always
2023-10-02,,buy,29.513134576374817,3.3883218924515637,100.0,always
2023-10-09,,buy,30.08461730542269,3.3239578547663697,100.0,always
2023-10-16,,buy,30.750511708883597,3.2519784043499587,100.0,always
2023-10-23,,buy,28.474537329859082,3.5119095647302268,100.0,always
2023-10-30,,buy,27.54526366034629,3.630388194249103,100.0,always
2023-11-06,,buy,30.85983636963488,3.2404578819606735,100.0,always
2023-11-13,,buy,32.19659981208524,3.1059180343156685,100.0,always
2023-11-20,,buy,33.747043753159275,2.963222519028452,100.0,always
2023-11-27,,buy,34.209196860448024,2.923190521190457,100.0,always
2023-12-04,,buy,33.63772148977349,2.972852963016592,100.0,always
2023-12-11,,buy,34.581896707663795,2.8916863885559727,100.0,always
2023-12-18,,buy,37.0467183586941,2.69929441608779,100.0,always
2023-12-26,,buy,37.766234640001436,2.647867889219792,100.0,always
2024-01-02,,buy,37.129505779253115,2.693275816665383,100.0,always
2024-01-08,,buy,35.657061798958075,2.804493554848147,100.0,always
2024-01-16,,buy,37.452847670821974,2.67002394260947,100.0,always
2024-01-22,,buy,40.213676510628396,2.486716179098178,100.0,always
2024-01-29,,buy,40.30819680895101,2.480884979151277,100.0,always
2024-02-05,,buy,41.12898236446385,2.431375498519548,100.0,always
2024-02-12,,buy,42.581536330449524,2.3484356981382857,100.0,always
2024-02-20,,buy,40.8951814688647,2.4452758591164194,100.0,always
2024-02-26,,buy,42.531790266025176,2.3511824772605685,100.0,always
2024-03-04,,buy,44.05397581299626,2.2699426817794555,100.0,always
2024-03-11,,buy,42.367623833424545,2.3602928593108468,100.0,always
2024-03-18,,buy,42.63126579417168,2.3456962428188435,100.0,always
2024-03-25,,buy,43.50986206851871,2.298329510733025,100.0,always
2024-04-01,,buy,43.7288772015634,2.286818377226132,100.0,always
2024-04-08,,buy,42.967296081169714,2.327351477065011,100.0,always
2024-04-15,,buy,43.00711970831178,2.325196401857004,100.0,always
2024-04-22,,buy,38.24348212818821,2.6148246559978587,100.0,always
2024-04-29,,buy,41.11560192849622,2.432166752025402,100.0,always
2024-05-06,,buy,41.82243157532296,2.3910613571068478,100.0,always
2024-05-13,,buy,43.046942856514214,2.323045339905414,100.0,always
2024-05-20,,buy,44.535260906633866,2.245411792010053,100.0,always
2024-05-28,,buy,45.894172770110536,2.1789258627868096,100.0,always
2024-06-03,,buy,44.91854434215406,2.226252018281778,100.0,always
2024-06-10,,buy,46.292378032263215,2.1601828260001152,100.0,always
2024-06-17,,buy,49.806625277204496,2.0077650200839448,100.0,always
2024-06-24,,buy,49.63738078520163,2.0146107312296575,100.0,always
2024-07-01,,buy,49.944091128754614,2.0022388582906134,100.0,always
2024-07-08,,buy,53.35241770639886,1.874329305005543,100.0,always
2024-07-15,,buy,53.26771623814446,1.8773096926650488,100.0,always
2024-07-22,,buy,49.87433055918556,2.005039443714049,100.0,always
2024-07-29,,buy,46.58060083075186,2.146816447545292,100.0,always
2024-08-05,,buy,38.46338164446226,2.5998754068052006,100.0,always
2024-08-12,,buy,43.44632050608461,2.3016908874019633,100.0,always
2024-08-19,,buy,48.04059611257476,2.0815728382234773,100.0,always
2024-08-26,,buy,48.753158278396455,2.0511491671773827,100.0,always
2024-09-03,,buy,47.44762553813668,2.1075870260277543,100.0,always
2024-09-09,,buy,43.371580481231945,2.305657273505924,100.0,always
2024-09-16,,buy,47.218413997650146,2.117817849726519,100.0,always
2024-09-23,,buy,49.236509973653604,2.0310131659110255,100.0,always
2024-09-30,,buy,49.74029780552695,2.010442325676795,100.0,always
2024-10-07,,buy,49.63559979219766,2.0146830182098303,100.0,always
2024-10-14,,buy,51.659712651924174,1.9357444102290278,100.0,always
2024-10-21,,buy,51.056469534036935,1.9586156448466285,100.0,always
2024-10-28,,buy,52.0635373671997,1.920730035969483,100.0,always
2024-11-04,,buy,49.555833022595706,2.0179259211403737,100.0,always
2024-11-11,,buy,55.38388053239326,1.8055795122826648,100.0,always
2024-11-18,,buy,51.664693366097595,1.9355577955606345,100.0,always
2024-11-25,,buy,54.06770513258091,1.849532909798691,100.0,always
2024-12-02,,buy,54.227241729530455,1.8440915822119557,100.0,always
2024-12-09,,buy,57.25343962021782,1.7466199526759463,100.0,always
2024-12-16,,buy,58.83384164211412,1.6997020287796154,100.0,always
2024-12-23,,buy,55.88310363438085,1.7894496457150457,100.0,always
2024-12-30,,buy,54.91538326924991,1.820983375636302,100.0,always
2025-01-06,,buy,56.65627424817114,1.7650295810481749,100.0,always
2025-01-13,,buy,51.7079596623489,1.9339382302646706,100.0,always
2025-01-21,,buy,56.551520675637335,1.768299044928786,100.0,always
2025-01-27,,buy,53.538636426336154,1.867809990596045,100.0,always
2025-02-03,,buy,53.99754918160505,1.8519359029366145,100.0,always
2025-02-10,,buy,56.85081671061962,1.7589896818724189,100.0,always
2025-02-18,,buy,59.48958863565745,1.6809664059445357,100.0,always
2025-02-24,,buy,56.81090580026113,1.7602254107967479,100.0,always
2025-03-03,,buy,53.20442919976838,1.8795427655943229,100.0,always
2025-03-10,,buy,47.388151387855714,2.1102321375977384,100.0,always
