execution_date,signal_date,side,price,shares,notional,regime
2010-02-11,2010-02-10,buy,0.193475423912053,51686.15112866036,10000.0,bull
2010-06-30,2010-06-29,sell,0.18937248318468966,51686.15112866036,9787.934785493564,bear
2010-09-16,2010-09-15,buy,0.24753954420274848,39540.89362577443,9787.934785493564,bull
2011-08-05,2011-08-04,sell,0.35469563716649954,39540.89362577443,14024.982458726841,bear
2011-10-25,2011-10-24,buy,0.39413206961436115,35584.47419021141,14024.982458726841,bull
2011-11-22,2011-11-21,sell,0.31021016092056364,35584.47419021141,11038.665464819125,bear
2012-01-13,2012-01-12,buy,0.3785295577820821,29161.96433773354,11038.665464819125,bull
2012-11-14,2012-11-13,sell,0.4658357528816296,29161.96433773354,13584.685612775336,bear
2013-02-11,2013-02-08,buy,0.579434370311457,23444.73560564471,13584.685612775336,bull
2015-08-24,2015-08-21,sell,1.4861346555930135,23444.73560564471,34842.03407476406,bear
2015-10-26,2015-10-23,buy,2.3336126347068924,14930.51312654566,34842.03407476406,bull
2016-01-08,2016-01-07,sell,1.8936583536258815,14930.51312654566,28273.29090600407,bear
2016-07-15,2016-07-14,buy,2.164930139827486,13059.678178925924,28273.29090600407,bull
2018-10-25,2018-10-24,sell,6.070080945487858,13059.678178925924,79273.30366810181,bear
2019-03-20,2019-03-19,buy,6.713162581523977,11808.63753937354,79273.30366810181,bull
2020-03-13,2020-03-12,sell,6.2195539668643915,11808.63753937354,73444.45845127446,bear
2020-04-15,2020-04-14,buy,7.259035662159832,10117.660508837067,73444.45845127446,bull
2022-01-24,2022-01-21,sell,25.6449426999191,10117.660508837067,259466.8240063609,bear
2023-02-03,2023-02-02,buy,12.080122897394155,21478.823204880755,259466.8240063609,bull
2025-03-11,2025-03-10,sell,29.32481198037624,21478.823204880755,629862.4520428703,bear
2025-05-14,2025-05-13,buy,34.50119270249162,18256.251529454592,629862.4520428703,bull
2026-03-27,2026-03-26,sell,40.44659434837382,18256.251529454592,738403.199933729,bear
2026-04-15,2026-04-14,buy,53.47366317091722,13808.726691746922,738403.199933729,bull
