execution_date,signal_date,side,price,shares,notional,regime
2010-02-24,2010-02-23,buy,0.21586359877620004,46325.550285889825,10000.0,bull
2010-06-30,2010-06-29,sell,0.18937248318468966,46325.550285889825,8772.784492536166,bear
2010-09-16,2010-09-15,buy,0.24753954420274848,35439.93150989554,8772.784492536166,bull
2011-08-05,2011-08-04,sell,0.35469563716649954,35439.93150989554,12570.389088039503,bear
2011-10-25,2011-10-24,buy,0.39413206961436115,31893.84994816334,12570.389088039503,bull
2011-11-22,2011-11-21,sell,0.31021016092056364,31893.84994816334,9893.79632479606,bear
2012-01-13,2012-01-12,buy,0.3785295577820821,26137.44718580703,9893.79632479606,bull
2012-11-14,2012-11-13,sell,0.4658357528816296,26137.44718580703,12175.757388204247,bear
2013-02-11,2013-02-08,buy,0.579434370311457,21013.177698898922,12175.757388204247,bull
2015-08-24,2015-08-21,sell,1.4861346555930135,21013.177698898922,31228.411602467942,bear
2015-10-26,2015-10-23,buy,2.3336126347068924,13382.003138832983,31228.411602467942,bull
2016-01-08,2016-01-07,sell,1.8936583536258815,13382.003138832983,25340.942032098847,bear
2016-07-15,2016-07-14,buy,2.164930139827486,11705.200812677565,25340.942032098847,bull
2018-10-25,2018-10-24,sell,6.070080945487858,11705.200812677565,71051.51641614307,bear
2019-03-20,2019-03-19,buy,6.713162581523977,10583.911167545928,71051.51641614307,bull
2020-03-13,2020-03-12,sell,6.2195539668643915,10583.911167545928,65827.20668705061,bear
2020-04-15,2020-04-14,buy,7.259035662159832,9068.31289315702,65827.20668705061,bull
2022-01-24,2022-01-21,sell,25.6449426999191,9068.31289315702,232556.36452994938,bear
2023-02-03,2023-02-02,buy,12.080122897394155,19251.158825554245,232556.36452994938,bull
2025-03-11,2025-03-10,sell,29.32481198037624,19251.158825554245,564536.6129637389,bear
2025-05-14,2025-05-13,buy,34.50119270249162,16362.814405629777,564536.6129637389,bull
2026-03-27,2026-03-26,sell,40.44659434837382,16362.814405629777,661820.1166622351,bear
2026-04-15,2026-04-14,buy,53.47366317091722,12376.562169434092,661820.1166622351,bull
